train_no,train_type,distance_km,departure_date,day_of_week,weather_condition,delay_minutes,is_delayed
11020,Express,1800,2026-03-28,Saturday,Clear,22,0
12423,Rajdhani,2100,2025-07-25,Friday,Clear,0,0
12004,Shatabdi,450,2025-07-10,Thursday,Clear,1,0
12004,Shatabdi,450,2025-09-10,Wednesday,Clear,9,0
12951,Rajdhani,1380,2025-10-22,Wednesday,Stormy,7,0
12951,Rajdhani,1380,2025-05-05,Monday,Clear,0,0
12004,Shatabdi,450,2025-06-11,Wednesday,Clear,0,0
11020,Express,1800,2026-01-09,Friday,Clear,23,0
12004,Shatabdi,450,2026-04-12,Sunday,Clear,6,0
12004,Shatabdi,450,2026-02-14,Saturday,Rainy,9,0
12951,Rajdhani,1380,2025-06-05,Thursday,Clear,2,0
11020,Express,1800,2026-01-02,Friday,Clear,36,0
11020,Express,1800,2025-06-02,Monday,Rainy,46,0
12951,Rajdhani,1380,2025-12-29,Monday,Clear,26,0
12951,Rajdhani,1380,2025-05-27,Tuesday,Foggy,87,1
11020,Express,1800,2025-10-20,Monday,Clear,7,0
12951,Rajdhani,1380,2025-06-05,Thursday,Clear,25,0
11020,Express,1800,2025-05-24,Saturday,Clear,2,0
22924,Superfast,1500,2026-03-06,Friday,Clear,7,0
12004,Shatabdi,450,2025-07-03,Thursday,Rainy,27,0
12004,Shatabdi,450,2025-12-30,Tuesday,Foggy,54,0
12423,Rajdhani,2100,2025-07-21,Monday,Clear,2,0
12004,Shatabdi,450,2025-11-26,Wednesday,Clear,9,0
22924,Superfast,1500,2025-04-18,Friday,Clear,22,0
12004,Shatabdi,450,2025-11-06,Thursday,Clear,0,0
12423,Rajdhani,2100,2025-10-09,Thursday,Clear,7,0
11020,Express,1800,2025-07-18,Friday,Rainy,31,0
12423,Rajdhani,2100,2025-09-03,Wednesday,Rainy,15,0
11020,Express,1800,2025-06-18,Wednesday,Rainy,30,0
12423,Rajdhani,2100,2025-08-25,Monday,Clear,1,0
11020,Express,1800,2026-01-24,Saturday,Foggy,116,1
22924,Superfast,1500,2026-01-21,Wednesday,Clear,25,0
22924,Superfast,1500,2025-12-28,Sunday,Clear,10,0
22924,Superfast,1500,2026-02-25,Wednesday,Clear,1,0
11020,Express,1800,2025-09-12,Friday,Foggy,100,1
22924,Superfast,1500,2025-10-10,Friday,Clear,53,0
11020,Express,1800,2026-01-06,Tuesday,Clear,10,0
22924,Superfast,1500,2025-07-23,Wednesday,Clear,0,0
22924,Superfast,1500,2025-04-15,Tuesday,Clear,0,0
12423,Rajdhani,2100,2025-11-23,Sunday,Foggy,61,1
11020,Express,1800,2025-11-02,Sunday,Clear,4,0
12423,Rajdhani,2100,2025-07-20,Sunday,Rainy,14,0
22924,Superfast,1500,2025-10-31,Friday,Clear,3,0
12423,Rajdhani,2100,2025-12-28,Sunday,Clear,8,0
12004,Shatabdi,450,2026-03-25,Wednesday,Clear,1,0
11020,Express,1800,2025-08-19,Tuesday,Clear,27,0
12004,Shatabdi,450,2025-09-11,Thursday,Clear,8,0
11020,Express,1800,2025-09-04,Thursday,Foggy,83,1
11020,Express,1800,2025-05-20,Tuesday,Foggy,128,1
22924,Superfast,1500,2025-07-21,Monday,Rainy,55,0
22924,Superfast,1500,2025-08-07,Thursday,Clear,2,0
11020,Express,1800,2025-12-23,Tuesday,Clear,1,0
12004,Shatabdi,450,2025-09-13,Saturday,Clear,1,0
12951,Rajdhani,1380,2025-10-24,Friday,Rainy,28,0
22924,Superfast,1500,2025-09-21,Sunday,Clear,10,0
11020,Express,1800,2025-08-26,Tuesday,Rainy,41,0
12423,Rajdhani,2100,2025-06-03,Tuesday,Foggy,113,1
12951,Rajdhani,1380,2026-01-15,Thursday,Clear,6,0
22924,Superfast,1500,2026-02-24,Tuesday,Clear,12,0
22924,Superfast,1500,2025-04-30,Wednesday,Stormy,9,0
12423,Rajdhani,2100,2025-04-19,Saturday,Clear,0,0
12423,Rajdhani,2100,2026-02-09,Monday,Stormy,24,0
22924,Superfast,1500,2025-08-07,Thursday,Clear,7,0
22924,Superfast,1500,2025-12-25,Thursday,Clear,6,0
12951,Rajdhani,1380,2025-11-22,Saturday,Foggy,62,1
12004,Shatabdi,450,2026-01-11,Sunday,Foggy,81,1
12423,Rajdhani,2100,2025-09-30,Tuesday,Foggy,80,1
12423,Rajdhani,2100,2025-05-03,Saturday,Rainy,43,0
11020,Express,1800,2025-09-03,Wednesday,Clear,1,0
12004,Shatabdi,450,2025-09-13,Saturday,Clear,30,0
12951,Rajdhani,1380,2025-06-10,Tuesday,Clear,0,0
12004,Shatabdi,450,2025-07-23,Wednesday,Clear,11,0
11020,Express,1800,2025-07-30,Wednesday,Rainy,31,0
12004,Shatabdi,450,2026-02-18,Wednesday,Clear,1,0
12951,Rajdhani,1380,2025-08-15,Friday,Rainy,12,0
12004,Shatabdi,450,2025-07-14,Monday,Rainy,26,0
22924,Superfast,1500,2025-06-10,Tuesday,Foggy,108,1
22924,Superfast,1500,2025-12-06,Saturday,Clear,46,0
12423,Rajdhani,2100,2026-01-16,Friday,Rainy,9,0
22924,Superfast,1500,2026-01-23,Friday,Clear,0,0
22924,Superfast,1500,2025-07-16,Wednesday,Foggy,145,1
11020,Express,1800,2025-11-17,Monday,Rainy,49,0
12423,Rajdhani,2100,2025-05-06,Tuesday,Clear,22,0
11020,Express,1800,2026-01-28,Wednesday,Clear,0,0
12004,Shatabdi,450,2025-07-18,Friday,Foggy,36,0
11020,Express,1800,2025-04-29,Tuesday,Clear,15,0
22924,Superfast,1500,2025-09-20,Saturday,Foggy,180,1
22924,Superfast,1500,2025-10-09,Thursday,Foggy,97,1
22924,Superfast,1500,2025-09-28,Sunday,Foggy,108,1
12423,Rajdhani,2100,2025-07-12,Saturday,Clear,2,0
11020,Express,1800,2026-02-21,Saturday,Rainy,46,0
12423,Rajdhani,2100,2025-11-16,Sunday,Foggy,70,1
12004,Shatabdi,450,2025-10-07,Tuesday,Rainy,12,0
22924,Superfast,1500,2025-07-18,Friday,Clear,40,0
12423,Rajdhani,2100,2026-01-06,Tuesday,Clear,10,0
22924,Superfast,1500,2026-04-03,Friday,Clear,34,0
11020,Express,1800,2025-11-16,Sunday,Clear,33,0
